player Name,matched_played,total_point,season
Pawan Kumar Sehrawat,17,228,season 7
Pardeep Narwal,17,207,season 7
Naveen Kumar,16,199,season 7
Maninder Singh,18,175,season 7
Siddharth Sirish Desai,16,140,season 7
Deepak Niwas Hooda,18,134,season 7
Vikash Kandola,13,129,season 7
Rahul Chaudhari,18,120,season 7
Manjeet,18,118,season 7
Shrikant Jadhav,17,106,season 7
Rohit Gulia,18,105,season 7
K. Prapanjan,18,101,season 7
Abhishek Singh,15,99,season 7
Pankaj Mohite,15,99,season 7
Mohammad Esmaeil Nabibakhsh,18,93,season 7
Rohit Kumar,17,92,season 7
V. Ajith Kumar,15,89,season 7
Sachin Tanwar,16,85,season 7
Vinay,16,81,season 7
Chandran Ranjit,15,79,season 7
Arjun Deshwal,16,78,season 7
Sandeep Kumar Dhull,18,62,season 7
More GB,16,60,season 7
Sumit,17,60,season 7
Naveen,13,58,season 7
Vishal Bhardwaj,16,58,season 7
Ajay Thakur,13,58,season 7
Fazel Atrachali,17,57,season 7
Surender Gill,14,55,season 7
Sandeep Narwal,17,54,season 7
PO Surjeet Singh,18,53,season 7
Baldev Singh,18,53,season 7
Nitin Tomar,11,52,season 7
Nitin Rawal,14,51,season 7
Rinku Narwal,18,48,season 7
Neeraj Kumar,17,47,season 7
Sunil Kumar,18,47,season 7
Monu Goyat,9,46,season 7
Rishank Devadiga,13,46,season 7
Surinder Singh,17,46,season 7
Mahender Singh,15,46,season 7
Jaideep,17,45,season 7
Suraj Desai,12,45,season 7
Farhad Rahimi Milaghardan,16,45,season 7
Rohit Baliyan,14,44,season 7
Ravinder Pahal,16,44,season 7
Nitesh Kumar,17,44,season 7
Nilesh Salunke,15,43,season 7
Saurabh Nandal,16,42,season 7
Hadi Oshtorak,17,41,season 7
Joginder Singh Narwal,16,41,season 7
Deepak Narwal,15,41,season 7
Manjeet Chhillar,15,41,season 7
Parvesh Bhainswal,18,40,season 7
Sunil,14,39,season 7
Vishal,12,38,season 7
Dharmaraj Cheralathan,15,38,season 7
Prashanth Kumar Rai,10,38,season 7
Mohit Chhillar,17,37,season 7
Jang Kun Lee,11,36,season 7
Athul MS,13,36,season 7
Monu,17,36,season 7
Amit Kumar,12,35,season 7
Mohammad Esmaeil Maghsoudlou Mahalli,16,35,season 7
Ran Singh,17,35,season 7
Vikas Kale,15,35,season 7
Abozar Mohajermighani,16,34,season 7
Sumit Singh,13,34,season 7
Amit Sheoran,17,34,season 7
Vijay,15,33,season 7
Sonu Jaglan,13,33,season 7
Ravi Kumar,14,31,season 7
Meraj Sheykh,12,31,season 7
Amit Hooda,12,31,season 7
Ashu Singh,17,31,season 7
Girish Maruti Ernak,13,29,season 7
Jeeva Kumar,17,29,season 7
Sukesh Hegde,11,29,season 7
Shabeer Bappu,14,29,season 7
Rajnish,8,28,season 7
Jadhav Balasaheb Shahaji,16,27,season 7
Vikas Jaglan,17,25,season 7
Pawan Kumar Kadian,6,25,season 7
Amit,17,24,season 7
Rakesh Gowda,7,24,season 7
C. Arun,16,21,season 7
Vishal Mane,16,21,season 7
Sushil Gulia,7,20,season 7
Ajinkya Ashok Pawar,14,19,season 7
Shubham Shinde,13,18,season 7
Harendra Kumar,15,17,season 7
Mohit Sehrawat,11,17,season 7
Hadi Tajik,11,17,season 7
Anil Kumar,12,16,season 7
Pankaj,7,16,season 7
Sumit Malik,14,15,season 7
Ajeet,14,14,season 7
Santhapanaselvam,6,14,season 7
Vineet Sharma,10,14,season 7
Sagar B Krishna,10,13,season 7
Amit Kumar,9,13,season 7
Ankit,12,13,season 7
Amit Kumar,5,13,season 7
Selvamani K,6,12,season 7
Sachin Narwal,11,12,season 7
Pavan T. R.,13,11,season 7
Banty,9,11,season 7
Surender Singh,4,11,season 7
Dong Geon Lee,4,10,season 7
Ruturaj Shivaji Koravi,13,10,season 7
Sunil Siddhgavali,13,9,season 7
Armaan,6,9,season 7
Sagar,9,9,season 7
Sushant Sail,7,8,season 7
Ankit Beniwal,5,8,season 7
Victor Onyango Obiero,3,8,season 7
Saeid Ghaffari,9,8,season 7
Mohsen Maghsoudloujafari,10,7,season 7
Viraj Vishnu Landge,8,7,season 7
Vinod Kumar,7,7,season 7
Ankush,3,7,season 7
Sanket Sawant,5,7,season 7
Chand Singh,6,6,season 7
Kuldeep Singh,8,6,season 7
Anand,5,6,season 7
Azad Singh,4,6,season 7
M. Abishek,5,6,season 7
Young Chang Ko,10,6,season 7
Abolfazl Maghsodloumahali,6,5,season 7
Ashish Kumar,6,5,season 7
Amit Kumar,3,5,season 7
Ashish,7,5,season 7
Lalit Chaudhary,4,5,season 7
Ankit,5,5,season 7
Vijay Kumar,9,5,season 7
Mayur Shivtarkar,6,4,season 7
Parveen,6,4,season 7
Purna Singh,5,4,season 7
Sachin Kumar,12,4,season 7
Gurvinder Singh,2,4,season 7
Krushna Madane,7,4,season 7
Darshan Kadian,5,4,season 7
Jawahar Dagar,5,4,season 7
Elavarasan A,3,4,season 7
Harmanjit Singh,3,4,season 7
Ravinder,4,3,season 7
Rakesh Narwal,1,3,season 7
Adarsh T,9,3,season 7
Aman Kadian,2,2,season 7
Ajay,7,2,season 7
